Year,Movie Name,Genre,BoxOfficeCollection,Rating
2009,Paa,Drama,30,7.1
2009,Dev.D,"Drama, Romance",24.5,8
2009,New York,"Drama, Thriller",41,6.9
2010,Dabangg,"Action, Comedy",141.24,6.2
2010,Golmaal 3,"Comedy, Drama",108,5.3
2010,Raajneeti,"Drama, Thriller",93,7.1
2010,My Name Is Khan,"Drama, Romance",82,8
2010,Housefull,"Comedy, Romance",72,5.4
2010,Tees Maar Khan,"Comedy, Crime",60,2.6
2010,Once Upon a Time in Mumbaai,"Action, Crime",58,7.4
2010,I Hate Luv Storys,"Comedy, Romance",42,5.6
2010,Band Baaja Baaraat,"Comedy, Drama",31,7.2
2010,Peepli Live,"Comedy, Drama",30,7.4
2011,Bodyguard,"Action, Romance",148.86,4.6
2011,Ready,"Comedy, Drama",119.78,4.8
2011,Ra.One,"Action, Sci-Fi",113.94,4.7
2011,Don 2,"Action, Crime",112,7
2011,Singham,"Action, Crime",100.3,6.8
2011,Zindagi Na Milegi Dobara,"Adventure, Drama",90,8.2
2011,The Dirty Picture,"Biography, Drama",80,6.6
2011,Rockstar,"Drama, Musical",70,7.6
2011,Yamla Pagla Deewana,"Comedy, Drama",55,5.7
2011,Murder 2,"Drama, Thriller",50,6.2
2012,Ek Tha Tiger,"Action, Adventure",198.78,5.5
2012,Dabangg 2,"Action, Comedy",155,4.9
2012,Rowdy Rathore,"Action, Comedy",131,5.7
2012,Jab Tak Hai Jaan,"Drama, Romance",120.85,6.7
2012,Agneepath,"Action, Drama",119.98,6.9
2012,Barfi!,"Comedy, Drama",112,8.1
2012,Housefull 2,"Comedy, Romance",114,5.4
2012,Talaash,"Drama, Thriller",90,7.2
2012,Son of Sardaar,"Action, Comedy",88,4
2012,Bol Bachchan,"Comedy, Drama",84,5.5
2013,Dhoom 3,"Action, Crime",282.8,5.4
2013,Chennai Express,"Action, Comedy",227.13,6
2013,Krrish 3,"Action, Sci-Fi",240.5,5.2
2013,Yeh Jawaani Hai Deewani,"Comedy, Drama",177.5,7.1
2013,Goliyon Ki Raasleela Ram-Leela,"Drama, Romance",112.5,6.4
2013,Bhaag Milkha Bhaag,"Biography, Drama",108.93,8.2
2013,Grand Masti,"Comedy, Drama",102,4.4
2013,Aashiqui 2,"Drama, Musical",78.42,7
2013,Special 26,"Crime, Thriller",66,8
2013,Raanjhanaa,"Drama, Romance",62,7.6
2014,PK,Comedy/Drama,854,8.2
2014,Kick,Action/Comedy,402,5.5
2014,Happy New Year,Action/Comedy,398,5.1
2014,Bang Bang!,Action/Romance,340,6.5
2014,Singham Returns,Action,216,5.6
2014,Holiday: A Soldier...,Action/Thriller,178,7.4
2014,Jai Ho,Action/Drama,183,5.3
2014,Ek Villain,Thriller,175,6.4
2014,2 States,Romance/Comedy,175,6.9
2014,Queen,Comedy/Drama,108,8.2
2015,Bajrangi Bhaijaan,Drama/Action,969,8
2015,Prem Ratan Dhan Payo,Romance/Drama,432,4.8
2015,Bajirao Mastani,Period/Drama,356,7.2
2015,Dilwale,Romance/Action,394,5.3
2015,Singh Is Bliing,Action/Comedy,135,5.4
2015,Tamasha,Romance/Drama,136,7.2
2015,Piku,Drama/Comedy,141,7.6
2015,Gabbar is Back,Action/Drama,162,7.1
2015,Baby,Action/Thriller,125,7.4
2015,Badlapur,Thriller/Drama,78,7.5
2016,Dangal,Biographical/Drama,2024,8.4
2016,Sultan,Sports/Drama,623,7
2016,Ae Dil Hai Mushkil,Romance/Drama,237,5.8
2016,MS Dhoni: The Untold Story,Biographical/Sports,216,7.8
2016,Airlift,Thriller/Drama,231,8
2016,Rustom,Crime/Thriller,218,7.1
2016,Dear Zindagi,Romance/Drama,139,7.6
2016,Neerja,Biographical/Drama,135,7.8
2016,Kapoor & Sons,Drama/Comedy,152,7.7
2016,Pink,Drama/Thriller,107,8.1
2017,Baahubali 2: The Conclusion,Epic/Action,1810,8.2
2017,Golmaal Again,Comedy,311,5
2017,Tiger Zinda Hai,Action/Drama,570,6
2017,Judwaa 2,Comedy/Romance,227,3.9
2017,Toilet: Ek Prem Katha,Comedy/Drama,311,7.2
2017,Raees,Crime/Drama,308,6.7
2017,Fukrey Returns,Comedy,110,4.8
2017,Badrinath Ki Dulhania,Romance/Drama,214,6.2
2017,Hindi Medium,Comedy/Drama,335,7.8
2017,Secret Superstar,Musical/Drama,965,7.8
2018,Sanju,Biographical/Drama,586,7.7
2018,Padmaavat,Period/Drama,585,7.1
2018,Simmba,Action/Drama,474,5.9
2018,Thugs of Hindostan,Action/Adventure,335,4.9
2018,Stree,Horror/Comedy,180,7.6
2018,Raazi,Spy/Thriller,194,7.8
2018,Badhaai Ho,Comedy/Drama,221,8
2018,Andhadhun,Thriller/Comedy,456,8.3
2018,Hichki,Drama/Comedy,239,7.5
2018,Zero,Romance/Drama,181,5.5
2019,War,Action/Thriller,474,6.5
2019,Kabir Singh,Romance/Drama,379,7.1
2019,Uri: The Surgical Strike,Action/Drama,342,8.2
2019,Bharat,Drama/Action,326,5.3
2019,Gully Boy,Musical/Drama,238,8.2
2019,Housefull 4,Comedy,280,3.3
2019,Mission Mangal,Drama/Sci-Fi,290,6.5
2019,Kesari,Action/Drama,207,7.4
2019,Total Dhamaal,Comedy/Adventure,228,4.3
2019,Chhichhore,Comedy/Drama,215,8.2
2020,Tanhaji: The Unsung Warrior,Action/Drama,367,7.6
2020,Baaghi 3,Action,137,2.1
2020,Angrezi Medium,Comedy/Drama,101,7.3
2020,Street Dancer 3D,Dance/Drama,97,3.6
2020,Malang,Romance/Thriller,84,6.7
2020,Shubh Mangal Zyada Saavdhan,Romance/Comedy,86,6.9
2020,Love Aaj Kal,Romance/Drama,52,2.6
2020,Chhapaak,Drama,55,5
2020,Thappad,Drama,44,6.9
2020,Gulabo Sitabo,Comedy/Drama,65,6.3
2021,Radhe,Action,245,1.9
2021,Sooryavanshi,Action/Drama,231,4.3
2021,Bell Bottom,Spy/Thriller,60,7
2021,Shershaah,Biographical/Drama,184,8.1
2021,Chehre,Mystery/Thriller,28,5.7
2021,Chandigarh Kare Aashiqui,Romance/Drama,38,7.4
2021,Bhuj: The Pride of India,War/Drama,32,4.2
2021,Maidaan,Sports/Drama,75,8
2021,Jersey,Sports/Drama,94,8.4
2021,Satyameva Jayate 2,Action,86,1.9
